"Name","Longitude","Latitude","Year","Raw_Value","DOY","DOY_pred","DOY_filled","DOY_source"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2001,11396.0901227679,74.0901227678566,84.2396039232488,74.0901227678566,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2002,11764.5185546875,77.5185546875,84.0793613399041,77.5185546875,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2003,12125.5443638393,73.5443638392869,83.9191187565594,73.5443638392869,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2004,12492.0888671875,75.0888671875,83.7588761732146,75.0888671875,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2005,12861.0053013393,78.0053013392869,83.5986335898699,78.0053013392869,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2006,13221.8863002232,73.8863002232131,83.4383910065252,73.8863002232131,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2007,13580.3256138393,67.3256138392869,83.2781484231805,67.3256138392869,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2008,13952.9454520089,74.945452008929,83.1179058398358,74.945452008929,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2009,14317.8917410714,73.891741071429,82.9576632564911,73.891741071429,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2010,14681.3743024554,72.3743024553579,82.7974206731464,72.3743024553579,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2011,15039.8021763393,65.8021763392869,82.6371780898017,65.8021763392869,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2012,15398.2195870536,59.219587053571,82.476935506457,59.219587053571,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2013,15781.6565290179,76.6565290178579,82.3166929231122,76.6565290178579,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2014,16145.7286551339,75.728655133929,82.1564503397675,75.728655133929,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2015,16508.37890625,73.37890625,81.9962077564228,73.37890625,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2016,16869.2614397321,69.2614397321421,81.8359651730781,69.2614397321421,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2017,17231.1665736607,65.1665736607131,81.6757225897334,65.1665736607131,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2018,17596.9905133929,65.9905133928579,81.5154800063887,65.9905133928579,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2019,17963.154296875,67.154296875,81.355237423044,67.154296875,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2020,18319.9411272321,58.9411272321421,81.1949948396993,58.9411272321421,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2021,18698.7513950893,71.7513950892869,81.0347522563546,71.7513950892869,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2022,19061.7907366071,69.7907366071421,80.8745096730098,69.7907366071421,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2023,19414.4595424107,57.4595424107131,80.7142670896651,57.4595424107131,"observed"
"16 Old Paris Mtn",-82.401393055916,34.87256146546,2024,19785.83984375,63.83984375,80.5540245063204,63.83984375,"observed"
"ASRI Caratunk",-71.321470614144,41.87438991764,2001,NA,NA,98.4183857833757,98.4183857833757,"predicted"
"ASRI Caratunk",-71.321470614144,41.87438991764,2002,NA,NA,98.258143200031,98.258143200031,"predicted"
"ASRI Caratunk",-71.321470614144,41.87438991764,2003,NA,NA,98.0979006166863,98.0979006166863,"predicted"
