"Name","Longitude","Latitude","Year","Raw_Value","DOY","DOY_pred","DOY_filled","DOY_source"
"Chepiwanoxet",-71.444385460233,41.673532935199,2015,NA,NA,95.7022123435193,95.7022123435193,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2016,NA,NA,95.5419697601746,95.5419697601746,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2017,NA,NA,95.3817271768299,95.3817271768299,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2018,NA,NA,95.2214845934852,95.2214845934852,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2019,NA,NA,95.0612420101405,95.0612420101405,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2020,NA,NA,94.9009994267957,94.9009994267957,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2021,NA,NA,94.740756843451,94.740756843451,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2022,NA,NA,94.5805142601063,94.5805142601063,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2023,NA,NA,94.4202716767616,94.4202716767616,"predicted"
"Chepiwanoxet",-71.444385460233,41.673532935199,2024,NA,NA,94.2600290934169,94.2600290934169,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2001,NA,NA,98.5443467539588,98.5443467539588,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2002,NA,NA,98.3841041706141,98.3841041706141,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2003,NA,NA,98.2238615872694,98.2238615872694,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2004,NA,NA,98.0636190039246,98.0636190039246,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2005,NA,NA,97.9033764205799,97.9033764205799,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2006,NA,NA,97.7431338372352,97.7431338372352,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2007,NA,NA,97.5828912538905,97.5828912538905,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2008,NA,NA,97.4226486705458,97.4226486705458,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2009,NA,NA,97.2624060872011,97.2624060872011,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2010,NA,NA,97.1021635038564,97.1021635038564,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2011,NA,NA,96.9419209205117,96.9419209205117,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2012,NA,NA,96.781678337167,96.781678337167,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2013,NA,NA,96.6214357538222,96.6214357538222,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2014,NA,NA,96.4611931704775,96.4611931704775,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2015,NA,NA,96.3009505871328,96.3009505871328,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2016,NA,NA,96.1407080037881,96.1407080037881,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2017,NA,NA,95.9804654204434,95.9804654204434,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2018,NA,NA,95.8202228370987,95.8202228370987,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2019,NA,NA,95.659980253754,95.659980253754,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2020,NA,NA,95.4997376704093,95.4997376704093,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2021,NA,NA,95.3394950870645,95.3394950870645,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2022,NA,NA,95.1792525037198,95.1792525037198,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2023,NA,NA,95.0190099203751,95.0190099203751,"predicted"
"Environmental Sciences Magnet School",-72.7024,41.7409,2024,NA,NA,94.8587673370304,94.8587673370304,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2001,NA,NA,99.0098670799803,99.0098670799803,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2002,NA,NA,98.8496244966356,98.8496244966356,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2003,NA,NA,98.6893819132909,98.6893819132909,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2004,NA,NA,98.5291393299462,98.5291393299462,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2005,NA,NA,98.3688967466015,98.3688967466015,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2006,NA,NA,98.2086541632568,98.2086541632568,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2007,NA,NA,98.0484115799121,98.0484115799121,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2008,NA,NA,97.8881689965673,97.8881689965673,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2009,NA,NA,97.7279264132226,97.7279264132226,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2010,NA,NA,97.5676838298779,97.5676838298779,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2011,NA,NA,97.4074412465332,97.4074412465332,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2012,NA,NA,97.2471986631885,97.2471986631885,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2013,NA,NA,97.0869560798438,97.0869560798438,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2014,NA,NA,96.9267134964991,96.9267134964991,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2015,NA,NA,96.7664709131544,96.7664709131544,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2016,NA,NA,96.6062283298097,96.6062283298097,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2017,NA,NA,96.4459857464649,96.4459857464649,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2018,NA,NA,96.2857431631202,96.2857431631202,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2019,NA,NA,96.1255005797755,96.1255005797755,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2020,NA,NA,95.9652579964308,95.9652579964308,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2021,NA,NA,95.8050154130861,95.8050154130861,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2022,NA,NA,95.6447728297414,95.6447728297414,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2023,NA,NA,95.4845302463967,95.4845302463967,"predicted"
"EwA at Bigelow",-72.133736073331,41.997887974173,2024,NA,NA,95.324287663052,95.324287663052,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2001,NA,NA,99.6723276904304,99.6723276904304,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2002,NA,NA,99.5120851070857,99.5120851070857,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2003,NA,NA,99.351842523741,99.351842523741,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2004,NA,NA,99.1915999403962,99.1915999403962,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2005,NA,NA,99.0313573570515,99.0313573570515,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2006,NA,NA,98.8711147737068,98.8711147737068,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2007,NA,NA,98.7108721903621,98.7108721903621,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2008,NA,NA,98.5506296070174,98.5506296070174,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2009,NA,NA,98.3903870236727,98.3903870236727,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2010,NA,NA,98.230144440328,98.230144440328,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2011,NA,NA,98.0699018569833,98.0699018569833,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2012,NA,NA,97.9096592736386,97.9096592736386,"predicted"
"EwA at Fresh Pond",-71.145097454995,42.387327000031,2013,NA,NA,97.7494166902938,97.7494166902938,"predicted"
